Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for bsd-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 16:54:38 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(1085632k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-01-19T13:38:15.485-0800: 1.244: [GC (Allocation Failure) [PSYoungGen: 2097664K->333278K(2446848K)] 2097664K->333286K(8039424K), 0.1553360 secs] [Times: user=0.17 sys=0.36, real=0.16 secs] 
2021-01-19T13:38:30.954-0800: 16.713: [GC (Allocation Failure) [PSYoungGen: 2437045K->337667K(2446336K)] 4175059K->2119653K(8038912K), 0.0574489 secs] [Times: user=0.19 sys=0.05, real=0.06 secs] 
2021-01-19T13:38:31.295-0800: 17.054: [GC (Allocation Failure) [PSYoungGen: 2446083K->328318K(2450944K)] 4228069K->2159891K(8043520K), 0.0483677 secs] [Times: user=0.22 sys=0.08, real=0.05 secs] 
2021-01-19T13:38:31.617-0800: 17.376: [GC (Allocation Failure) [PSYoungGen: 2433150K->327880K(2449920K)] 4264723K->2206982K(8042496K), 0.0526537 secs] [Times: user=0.19 sys=0.06, real=0.06 secs] 
2021-01-19T13:38:31.932-0800: 17.691: [GC (Allocation Failure) [PSYoungGen: 2432712K->324476K(2453504K)] 4311814K->2251267K(8046080K), 0.0480039 secs] [Times: user=0.20 sys=0.06, real=0.05 secs] 
2021-01-19T13:38:32.237-0800: 17.997: [GC (Allocation Failure) [PSYoungGen: 2434428K->322358K(2452480K)] 4361219K->2293611K(8045056K), 0.0498849 secs] [Times: user=0.23 sys=0.07, real=0.05 secs] 
2021-01-19T13:38:32.550-0800: 18.309: [GC (Allocation Failure) [PSYoungGen: 2432310K->337348K(2449408K)] 4403563K->2344705K(8041984K), 0.0474235 secs] [Times: user=0.22 sys=0.06, real=0.04 secs] 
2021-01-19T13:38:32.871-0800: 18.631: [GC (Allocation Failure) [PSYoungGen: 2445252K->321588K(2451968K)] 4452609K->2375195K(8044544K), 0.0513443 secs] [Times: user=0.20 sys=0.05, real=0.05 secs] 
2021-01-19T13:38:33.217-0800: 18.976: [GC (Allocation Failure) [PSYoungGen: 2429492K->308638K(2449408K)] 4483099K->2409132K(8041984K), 0.0517598 secs] [Times: user=0.16 sys=0.05, real=0.05 secs] 
2021-01-19T13:38:33.541-0800: 19.301: [GC (Allocation Failure) [PSYoungGen: 2414494K->324317K(2450944K)] 4514988K->2468221K(8043520K), 0.0622794 secs] [Times: user=0.16 sys=0.05, real=0.06 secs] 
2021-01-19T13:38:33.844-0800: 19.603: [GC (Allocation Failure) [PSYoungGen: 2430173K->330224K(2452992K)] 4574077K->2518510K(8045568K), 0.0480585 secs] [Times: user=0.16 sys=0.04, real=0.05 secs] 
2021-01-19T13:38:34.134-0800: 19.894: [GC (Allocation Failure) [PSYoungGen: 2440176K->339111K(2449408K)] 4628462K->2568874K(8041984K), 0.0551566 secs] [Times: user=0.16 sys=0.04, real=0.06 secs] 
2021-01-19T13:38:34.442-0800: 20.201: [GC (Allocation Failure) [PSYoungGen: 2449063K->323639K(2450944K)] 4678826K->2593678K(8043520K), 0.0605111 secs] [Times: user=0.16 sys=0.04, real=0.06 secs] 
2021-01-19T13:38:34.793-0800: 20.553: [GC (Allocation Failure) [PSYoungGen: 2427959K->318865K(2449408K)] 4697998K->2633935K(8041984K), 0.0656740 secs] [Times: user=0.17 sys=0.07, real=0.06 secs] 
2021-01-19T13:38:35.140-0800: 20.899: [GC (Allocation Failure) [PSYoungGen: 2423185K->315312K(2451456K)] 4738255K->2680708K(8044032K), 0.0686532 secs] [Times: user=0.17 sys=0.06, real=0.06 secs] 
2021-01-19T13:38:35.495-0800: 21.254: [GC (Allocation Failure) [PSYoungGen: 2422192K->323491K(2451456K)] 4787588K->2728366K(8044032K), 0.0572392 secs] [Times: user=0.17 sys=0.04, real=0.06 secs] 
2021-01-19T13:38:35.837-0800: 21.596: [GC (Allocation Failure) [PSYoungGen: 2430371K->333528K(2450944K)] 4835246K->2778370K(8043520K), 0.0512822 secs] [Times: user=0.20 sys=0.04, real=0.05 secs] 
2021-01-19T13:38:36.177-0800: 21.936: [GC (Allocation Failure) [PSYoungGen: 2441432K->330373K(2451968K)] 4886274K->2817604K(8044544K), 0.0512860 secs] [Times: user=0.20 sys=0.05, real=0.05 secs] 
2021-01-19T13:38:36.510-0800: 22.269: [GC (Allocation Failure) [PSYoungGen: 2438277K->323110K(2452992K)] 4925508K->2856553K(8045568K), 0.0603540 secs] [Times: user=0.20 sys=0.07, real=0.06 secs] 
2021-01-19T13:38:36.853-0800: 22.613: [GC (Allocation Failure) [PSYoungGen: 2432038K->323371K(2451968K)] 4965481K->2900360K(8044544K), 0.0546674 secs] [Times: user=0.23 sys=0.07, real=0.05 secs] 
2021-01-19T13:38:37.213-0800: 22.972: [GC (Allocation Failure) [PSYoungGen: 2432299K->333091K(2451456K)] 5009288K->2960407K(8044032K), 0.0508537 secs] [Times: user=0.22 sys=0.06, real=0.05 secs] 
2021-01-19T13:38:37.523-0800: 23.283: [GC (Allocation Failure) [PSYoungGen: 2443043K->319616K(2452992K)] 5070359K->2991558K(8045568K), 0.0457000 secs] [Times: user=0.23 sys=0.07, real=0.04 secs] 
2021-01-19T13:38:37.815-0800: 23.574: [GC (Allocation Failure) [PSYoungGen: 2429568K->331502K(2452480K)] 5101510K->3047512K(8045056K), 0.0475907 secs] [Times: user=0.22 sys=0.06, real=0.05 secs] 
2021-01-19T13:38:38.132-0800: 23.891: [GC (Allocation Failure) [PSYoungGen: 2441454K->335247K(2445312K)] 5157464K->3088257K(8037888K), 0.0489389 secs] [Times: user=0.25 sys=0.06, real=0.05 secs] 
2021-01-19T13:38:38.455-0800: 24.214: [GC (Allocation Failure) [PSYoungGen: 2445199K->326203K(2452992K)] 5198209K->3129283K(8045568K), 0.0616168 secs] [Times: user=0.22 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:38.788-0800: 24.547: [GC (Allocation Failure) [PSYoungGen: 2434619K->330415K(2451456K)] 5237699K->3174154K(8044032K), 0.0508851 secs] [Times: user=0.24 sys=0.05, real=0.05 secs] 
2021-01-19T13:38:39.119-0800: 24.878: [GC (Allocation Failure) [PSYoungGen: 2438831K->328615K(2454528K)] 5282570K->3215637K(8047104K), 0.0489768 secs] [Times: user=0.26 sys=0.06, real=0.05 secs] 
2021-01-19T13:38:39.447-0800: 25.206: [GC (Allocation Failure) [PSYoungGen: 2440615K->337430K(2449920K)] 5327637K->3262100K(8042496K), 0.0622204 secs] [Times: user=0.24 sys=0.06, real=0.06 secs] 
2021-01-19T13:38:39.788-0800: 25.547: [GC (Allocation Failure) [PSYoungGen: 2449430K->340317K(2446848K)] 5374100K->3309534K(8039424K), 0.0670909 secs] [Times: user=0.25 sys=0.09, real=0.07 secs] 
2021-01-19T13:38:40.135-0800: 25.895: [GC (Allocation Failure) [PSYoungGen: 2443101K->317889K(2420736K)] 5412318K->3329848K(8013312K), 0.0628285 secs] [Times: user=0.25 sys=0.08, real=0.07 secs] 
2021-01-19T13:38:40.479-0800: 26.238: [GC (Allocation Failure) [PSYoungGen: 2420673K->319594K(2449408K)] 5432632K->3376300K(8041984K), 0.0649998 secs] [Times: user=0.24 sys=0.08, real=0.07 secs] 
2021-01-19T13:38:40.815-0800: 26.575: [GC (Allocation Failure) [PSYoungGen: 2421866K->317424K(2448896K)] 5478572K->3415485K(8041472K), 0.0572480 secs] [Times: user=0.23 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:41.144-0800: 26.903: [GC (Allocation Failure) [PSYoungGen: 2419696K->315584K(2449408K)] 5517757K->3452757K(8041984K), 0.0595133 secs] [Times: user=0.26 sys=0.07, real=0.06 secs] 
2021-01-19T13:38:41.471-0800: 27.231: [GC (Allocation Failure) [PSYoungGen: 2418368K->318578K(2449408K)] 5555541K->3504006K(8041984K), 0.0672123 secs] [Times: user=0.26 sys=0.09, real=0.06 secs] 
2021-01-19T13:38:41.813-0800: 27.572: [GC (Allocation Failure) [PSYoungGen: 2421362K->321971K(2451968K)] 5606790K->3551160K(8044544K), 0.0619152 secs] [Times: user=0.24 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:42.147-0800: 27.907: [GC (Allocation Failure) [PSYoungGen: 2428339K->320572K(2450432K)] 5657528K->3593089K(8043008K), 0.0624587 secs] [Times: user=0.26 sys=0.08, real=0.07 secs] 
2021-01-19T13:38:42.470-0800: 28.230: [GC (Allocation Failure) [PSYoungGen: 2426940K->339479K(2445312K)] 5699457K->3651339K(8037888K), 0.0617937 secs] [Times: user=0.24 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:42.815-0800: 28.574: [GC (Allocation Failure) [PSYoungGen: 2442263K->318687K(2449408K)] 5754123K->3677935K(8041984K), 0.0627433 secs] [Times: user=0.25 sys=0.09, real=0.06 secs] 
2021-01-19T13:38:43.145-0800: 28.905: [GC (Allocation Failure) [PSYoungGen: 2421471K->327697K(2451456K)] 5780719K->3728015K(8044032K), 0.0603744 secs] [Times: user=0.28 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:43.467-0800: 29.227: [GC (Allocation Failure) [PSYoungGen: 2433553K->319748K(2450432K)] 5833871K->3766519K(8043008K), 0.0638140 secs] [Times: user=0.22 sys=0.07, real=0.07 secs] 
2021-01-19T13:38:43.795-0800: 29.555: [GC (Allocation Failure) [PSYoungGen: 2425604K->320378K(2453504K)] 5872375K->3816740K(8046080K), 0.0623812 secs] [Times: user=0.27 sys=0.10, real=0.06 secs] 
2021-01-19T13:38:44.107-0800: 29.867: [GC (Allocation Failure) [PSYoungGen: 2430330K->314222K(2452480K)] 5926692K->3850941K(8045056K), 0.0569520 secs] [Times: user=0.25 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:44.416-0800: 30.175: [GC (Allocation Failure) [PSYoungGen: 2424174K->318182K(2454528K)] 5960893K->3894765K(8047104K), 0.0615106 secs] [Times: user=0.27 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:44.741-0800: 30.501: [GC (Allocation Failure) [PSYoungGen: 2430182K->324926K(2453504K)] 6006765K->3940924K(8046080K), 0.0630806 secs] [Times: user=0.28 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:45.083-0800: 30.842: [GC (Allocation Failure) [PSYoungGen: 2436926K->320824K(2457088K)] 6052924K->3982890K(8049664K), 0.0642619 secs] [Times: user=0.28 sys=0.10, real=0.06 secs] 
2021-01-19T13:38:45.420-0800: 31.179: [GC (Allocation Failure) [PSYoungGen: 2437432K->332237K(2448896K)] 6099498K->4031910K(8041472K), 0.0593290 secs] [Times: user=0.28 sys=0.07, real=0.05 secs] 
2021-01-19T13:38:45.753-0800: 31.512: [GC (Allocation Failure) [PSYoungGen: 2448845K->334176K(2450944K)] 6148518K->4078635K(8043520K), 0.0663935 secs] [Times: user=0.27 sys=0.09, real=0.07 secs] 
2021-01-19T13:38:46.093-0800: 31.852: [GC (Allocation Failure) [PSYoungGen: 2444128K->321145K(2452992K)] 6188587K->4115960K(8045568K), 0.0663429 secs] [Times: user=0.26 sys=0.10, real=0.06 secs] 
2021-01-19T13:38:46.453-0800: 32.212: [GC (Allocation Failure) [PSYoungGen: 2431097K->333284K(2450944K)] 6225912K->4169097K(8043520K), 0.0615161 secs] [Times: user=0.29 sys=0.09, real=0.06 secs] 
2021-01-19T13:38:46.801-0800: 32.560: [GC (Allocation Failure) [PSYoungGen: 2442212K->319065K(2452480K)] 6278025K->4196855K(8045056K), 0.0585071 secs] [Times: user=0.26 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:47.130-0800: 32.890: [GC (Allocation Failure) [PSYoungGen: 2427993K->331046K(2451456K)] 6305783K->4251714K(8044032K), 0.0634111 secs] [Times: user=0.28 sys=0.07, real=0.06 secs] 
2021-01-19T13:38:47.481-0800: 33.241: [GC (Allocation Failure) [PSYoungGen: 2439974K->319524K(2452480K)] 6360642K->4288895K(8045056K), 0.0662395 secs] [Times: user=0.28 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:47.840-0800: 33.600: [GC (Allocation Failure) [PSYoungGen: 2428452K->324956K(2455040K)] 6397823K->4337313K(8047616K), 0.0665770 secs] [Times: user=0.25 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:48.190-0800: 33.949: [GC (Allocation Failure) [PSYoungGen: 2437468K->315694K(2453504K)] 6449825K->4373291K(8046080K), 0.0638330 secs] [Times: user=0.28 sys=0.09, real=0.06 secs] 
2021-01-19T13:38:48.530-0800: 34.289: [GC (Allocation Failure) [PSYoungGen: 2428206K->321155K(2456576K)] 6485803K->4421039K(8049152K), 0.0624413 secs] [Times: user=0.29 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:48.881-0800: 34.640: [GC (Allocation Failure) [PSYoungGen: 2436739K->337547K(2453504K)] 6536623K->4483661K(8046080K), 0.0707755 secs] [Times: user=0.31 sys=0.09, real=0.07 secs] 
2021-01-19T13:38:49.249-0800: 35.009: [GC (Allocation Failure) [PSYoungGen: 2453131K->324861K(2454528K)] 6599245K->4511731K(8047104K), 0.0616532 secs] [Times: user=0.29 sys=0.08, real=0.07 secs] 
2021-01-19T13:38:49.597-0800: 35.357: [GC (Allocation Failure) [PSYoungGen: 2436861K->336751K(2448896K)] 6623731K->4565653K(8041472K), 0.0642388 secs] [Times: user=0.31 sys=0.08, real=0.07 secs] 
2021-01-19T13:38:49.951-0800: 35.711: [GC (Allocation Failure) [PSYoungGen: 2448751K->320163K(2452480K)] 6677653K->4593363K(8045056K), 0.0645505 secs] [Times: user=0.28 sys=0.09, real=0.06 secs] 
2021-01-19T13:38:50.289-0800: 36.049: [GC (Allocation Failure) [PSYoungGen: 2428579K->326959K(2451968K)] 6701779K->4643271K(8044544K), 0.0622671 secs] [Times: user=0.28 sys=0.08, real=0.07 secs] 
2021-01-19T13:38:50.640-0800: 36.400: [GC (Allocation Failure) [PSYoungGen: 2435375K->316591K(2454016K)] 6751687K->4684660K(8046592K), 0.0682496 secs] [Times: user=0.26 sys=0.09, real=0.06 secs] 
2021-01-19T13:38:50.996-0800: 36.755: [GC (Allocation Failure) [PSYoungGen: 2428591K->312661K(2424832K)] 6796660K->4725190K(8017408K), 0.0641831 secs] [Times: user=0.26 sys=0.08, real=0.07 secs] 
2021-01-19T13:38:51.318-0800: 37.078: [GC (Allocation Failure) [PSYoungGen: 2424661K->330479K(2452480K)] 6837190K->4785409K(8045056K), 0.0642908 secs] [Times: user=0.29 sys=0.09, real=0.07 secs] 
2021-01-19T13:38:51.677-0800: 37.437: [GC (Allocation Failure) [PSYoungGen: 2440431K->317590K(2452992K)] 6895361K->4816859K(8045568K), 0.0621425 secs] [Times: user=0.27 sys=0.08, real=0.07 secs] 
2021-01-19T13:38:52.027-0800: 37.787: [GC (Allocation Failure) [PSYoungGen: 2427542K->326293K(2454528K)] 6926811K->4866303K(8047104K), 0.0652843 secs] [Times: user=0.28 sys=0.07, real=0.07 secs] 
2021-01-19T13:38:52.388-0800: 38.148: [GC (Allocation Failure) [PSYoungGen: 2438293K->324338K(2453504K)] 6978303K->4908107K(8046080K), 0.0701099 secs] [Times: user=0.24 sys=0.07, real=0.07 secs] 
2021-01-19T13:38:52.728-0800: 38.488: [GC (Allocation Failure) [PSYoungGen: 2436338K->324437K(2457600K)] 7020107K->4948401K(8050176K), 0.0521068 secs] [Times: user=0.30 sys=0.06, real=0.06 secs] 
2021-01-19T13:38:53.047-0800: 38.806: [GC (Allocation Failure) [PSYoungGen: 2442069K->328199K(2456064K)] 7066033K->5004061K(8048640K), 0.0544713 secs] [Times: user=0.28 sys=0.08, real=0.06 secs] 
2021-01-19T13:38:53.394-0800: 39.154: [GC (Allocation Failure) [PSYoungGen: 2445831K->322923K(2458624K)] 7121693K->5043730K(8051200K), 0.0517792 secs] [Times: user=0.31 sys=0.07, real=0.05 secs] 
2021-01-19T13:38:53.736-0800: 39.496: [GC (Allocation Failure) [PSYoungGen: 2442603K->337361K(2457088K)] 7163410K->5097516K(8049664K), 0.0531995 secs] [Times: user=0.31 sys=0.06, real=0.06 secs] 
2021-01-19T13:38:54.069-0800: 39.828: [GC (Allocation Failure) [PSYoungGen: 2457041K->327125K(2455040K)] 7217196K->5130930K(8047616K), 0.0538618 secs] [Times: user=0.32 sys=0.07, real=0.06 secs] 
