Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for bsd-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 16:54:38 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(194288k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-01-18T10:13:03.194-0800: 0.132: [GC (Allocation Failure) [PSYoungGen: 131051K->21499K(153088K)] 131051K->43123K(502784K), 0.0107445 secs] [Times: user=0.02 sys=0.05, real=0.01 secs] 
2021-01-18T10:13:03.224-0800: 0.161: [GC (Allocation Failure) [PSYoungGen: 153083K->21487K(153088K)] 174707K->79270K(502784K), 0.0134793 secs] [Times: user=0.03 sys=0.07, real=0.01 secs] 
2021-01-18T10:13:03.253-0800: 0.190: [GC (Allocation Failure) [PSYoungGen: 153071K->21502K(153088K)] 210854K->124222K(502784K), 0.0131994 secs] [Times: user=0.04 sys=0.06, real=0.01 secs] 
2021-01-18T10:13:03.281-0800: 0.218: [GC (Allocation Failure) [PSYoungGen: 153086K->21503K(153088K)] 255806K->169714K(502784K), 0.0140439 secs] [Times: user=0.04 sys=0.06, real=0.01 secs] 
2021-01-18T10:13:03.310-0800: 0.247: [GC (Allocation Failure) [PSYoungGen: 153087K->21502K(153088K)] 301298K->215206K(502784K), 0.0142429 secs] [Times: user=0.04 sys=0.06, real=0.01 secs] 
2021-01-18T10:13:03.340-0800: 0.277: [GC (Allocation Failure) [PSYoungGen: 152335K->21497K(80384K)] 346039K->251439K(430080K), 0.0121129 secs] [Times: user=0.04 sys=0.05, real=0.01 secs] 
2021-01-18T10:13:03.359-0800: 0.296: [GC (Allocation Failure) [PSYoungGen: 80328K->35573K(116736K)] 310271K->270261K(466432K), 0.0048042 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2021-01-18T10:13:03.372-0800: 0.310: [GC (Allocation Failure) [PSYoungGen: 94226K->46222K(116736K)] 328915K->288461K(466432K), 0.0078219 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2021-01-18T10:13:03.390-0800: 0.327: [GC (Allocation Failure) [PSYoungGen: 104937K->54918K(116736K)] 347175K->304579K(466432K), 0.0078496 secs] [Times: user=0.05 sys=0.01, real=0.00 secs] 
2021-01-18T10:13:03.408-0800: 0.346: [GC (Allocation Failure) [PSYoungGen: 113778K->37324K(116736K)] 363439K->320207K(466432K), 0.0123920 secs] [Times: user=0.03 sys=0.05, real=0.02 secs] 
2021-01-18T10:13:03.430-0800: 0.367: [GC (Allocation Failure) [PSYoungGen: 96204K->25487K(116736K)] 379087K->343012K(466432K), 0.0118960 secs] [Times: user=0.03 sys=0.04, real=0.01 secs] 
2021-01-18T10:13:03.718-0800: 0.655: [GC (Allocation Failure) [PSYoungGen: 58237K->22279K(116736K)] 363920K->327962K(466432K), 0.0032153 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-01-18T10:13:03.730-0800: 0.667: [GC (Allocation Failure) [PSYoungGen: 81159K->18312K(116736K)] 386842K->344730K(466432K), 0.0060633 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2021-01-18T10:13:03.736-0800: 0.673: [Full GC (Ergonomics) [PSYoungGen: 18312K->0K(116736K)] [ParOldGen: 326417K->314232K(349696K)] 344730K->314232K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0391718 secs] [Times: user=0.22 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:03.789-0800: 0.726: [Full GC (Ergonomics) [PSYoungGen: 58880K->0K(116736K)] [ParOldGen: 314232K->316479K(349696K)] 373112K->316479K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0413762 secs] [Times: user=0.23 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:03.846-0800: 0.783: [Full GC (Ergonomics) [PSYoungGen: 58814K->0K(116736K)] [ParOldGen: 316479K->322545K(349696K)] 375293K->322545K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0395703 secs] [Times: user=0.23 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:03.898-0800: 0.836: [Full GC (Ergonomics) [PSYoungGen: 58808K->0K(116736K)] [ParOldGen: 322545K->330452K(349696K)] 381353K->330452K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0416653 secs] [Times: user=0.23 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:03.953-0800: 0.891: [Full GC (Ergonomics) [PSYoungGen: 58880K->0K(116736K)] [ParOldGen: 330452K->335471K(349696K)] 389332K->335471K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0417403 secs] [Times: user=0.23 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:04.009-0800: 0.946: [Full GC (Ergonomics) [PSYoungGen: 58794K->0K(116736K)] [ParOldGen: 335471K->335304K(349696K)] 394265K->335304K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0394008 secs] [Times: user=0.24 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:04.064-0800: 1.002: [Full GC (Ergonomics) [PSYoungGen: 58616K->0K(116736K)] [ParOldGen: 335304K->335956K(349696K)] 393920K->335956K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0406319 secs] [Times: user=0.26 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:04.124-0800: 1.061: [Full GC (Ergonomics) [PSYoungGen: 58880K->0K(116736K)] [ParOldGen: 335956K->338305K(349696K)] 394836K->338305K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0477989 secs] [Times: user=0.19 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:04.184-0800: 1.122: [Full GC (Ergonomics) [PSYoungGen: 58858K->0K(116736K)] [ParOldGen: 338305K->342394K(349696K)] 397164K->342394K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0537062 secs] [Times: user=0.19 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:04.253-0800: 1.190: [Full GC (Ergonomics) [PSYoungGen: 58880K->0K(116736K)] [ParOldGen: 342394K->345898K(349696K)] 401274K->345898K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0585743 secs] [Times: user=0.21 sys=0.01, real=0.06 secs] 
2021-01-18T10:13:04.359-0800: 1.297: [Full GC (Ergonomics) [PSYoungGen: 58880K->0K(116736K)] [ParOldGen: 345898K->347179K(349696K)] 404778K->347179K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0795992 secs] [Times: user=0.15 sys=0.01, real=0.08 secs] 
2021-01-18T10:13:04.457-0800: 1.394: [Full GC (Ergonomics) [PSYoungGen: 58869K->0K(116736K)] [ParOldGen: 347179K->348708K(349696K)] 406048K->348708K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0442014 secs] [Times: user=0.19 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:04.517-0800: 1.454: [Full GC (Ergonomics) [PSYoungGen: 58880K->5610K(116736K)] [ParOldGen: 348708K->349691K(349696K)] 407588K->355302K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0472843 secs] [Times: user=0.19 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:04.581-0800: 1.518: [Full GC (Ergonomics) [PSYoungGen: 58538K->6437K(116736K)] [ParOldGen: 349691K->349400K(349696K)] 408229K->355838K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0500145 secs] [Times: user=0.23 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:04.646-0800: 1.584: [Full GC (Ergonomics) [PSYoungGen: 58880K->2600K(116736K)] [ParOldGen: 349400K->349420K(349696K)] 408280K->352021K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0509652 secs] [Times: user=0.20 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:04.711-0800: 1.648: [Full GC (Ergonomics) [PSYoungGen: 58550K->3537K(116736K)] [ParOldGen: 349420K->349451K(349696K)] 407971K->352989K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0475096 secs] [Times: user=0.20 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:04.773-0800: 1.710: [Full GC (Ergonomics) [PSYoungGen: 58603K->1674K(116736K)] [ParOldGen: 349451K->349445K(349696K)] 408054K->351120K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0473706 secs] [Times: user=0.23 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:04.833-0800: 1.771: [Full GC (Ergonomics) [PSYoungGen: 58880K->1256K(116736K)] [ParOldGen: 349445K->349219K(349696K)] 408325K->350475K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0421720 secs] [Times: user=0.26 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:04.887-0800: 1.825: [Full GC (Ergonomics) [PSYoungGen: 58747K->0K(116736K)] [ParOldGen: 349219K->349656K(349696K)] 407966K->349656K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0429982 secs] [Times: user=0.24 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:04.943-0800: 1.880: [Full GC (Ergonomics) [PSYoungGen: 58880K->240K(116736K)] [ParOldGen: 349656K->349687K(349696K)] 408536K->349927K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0434115 secs] [Times: user=0.26 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:04.999-0800: 1.936: [Full GC (Ergonomics) [PSYoungGen: 58734K->0K(116736K)] [ParOldGen: 349687K->348983K(349696K)] 408421K->348983K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0450010 secs] [Times: user=0.25 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:05.058-0800: 1.995: [Full GC (Ergonomics) [PSYoungGen: 58448K->0K(116736K)] [ParOldGen: 348983K->345431K(349696K)] 407431K->345431K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0474608 secs] [Times: user=0.25 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:05.120-0800: 2.057: [Full GC (Ergonomics) [PSYoungGen: 58880K->0K(116736K)] [ParOldGen: 345431K->344667K(349696K)] 404311K->344667K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0451438 secs] [Times: user=0.23 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:05.179-0800: 2.117: [Full GC (Ergonomics) [PSYoungGen: 58880K->0K(116736K)] [ParOldGen: 344667K->345821K(349696K)] 403547K->345821K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0417720 secs] [Times: user=0.27 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:05.235-0800: 2.172: [Full GC (Ergonomics) [PSYoungGen: 58880K->0K(116736K)] [ParOldGen: 345821K->346813K(349696K)] 404701K->346813K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0430285 secs] [Times: user=0.28 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:05.291-0800: 2.229: [Full GC (Ergonomics) [PSYoungGen: 58880K->0K(116736K)] [ParOldGen: 346813K->347415K(349696K)] 405693K->347415K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0474672 secs] [Times: user=0.27 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:05.353-0800: 2.290: [Full GC (Ergonomics) [PSYoungGen: 58880K->405K(116736K)] [ParOldGen: 347415K->349674K(349696K)] 406295K->350080K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0468631 secs] [Times: user=0.24 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:05.415-0800: 2.353: [Full GC (Ergonomics) [PSYoungGen: 58790K->2152K(116736K)] [ParOldGen: 349674K->349525K(349696K)] 408465K->351678K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0450481 secs] [Times: user=0.23 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:05.477-0800: 2.415: [Full GC (Ergonomics) [PSYoungGen: 58435K->6759K(116736K)] [ParOldGen: 349525K->349474K(349696K)] 407961K->356234K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0460736 secs] [Times: user=0.26 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:05.534-0800: 2.472: [Full GC (Ergonomics) [PSYoungGen: 58245K->11489K(116736K)] [ParOldGen: 349474K->349560K(349696K)] 407720K->361049K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0496037 secs] [Times: user=0.27 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:05.597-0800: 2.534: [Full GC (Ergonomics) [PSYoungGen: 58880K->14822K(116736K)] [ParOldGen: 349560K->349656K(349696K)] 408440K->364479K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0459482 secs] [Times: user=0.24 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:05.655-0800: 2.592: [Full GC (Ergonomics) [PSYoungGen: 58880K->12099K(116736K)] [ParOldGen: 349656K->349364K(349696K)] 408536K->361463K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0458263 secs] [Times: user=0.24 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:05.714-0800: 2.652: [Full GC (Ergonomics) [PSYoungGen: 58794K->8493K(116736K)] [ParOldGen: 349364K->349082K(349696K)] 408158K->357576K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0463647 secs] [Times: user=0.25 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:05.776-0800: 2.713: [Full GC (Ergonomics) [PSYoungGen: 58880K->10237K(116736K)] [ParOldGen: 349082K->349289K(349696K)] 407962K->359527K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0477551 secs] [Times: user=0.27 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:05.837-0800: 2.774: [Full GC (Ergonomics) [PSYoungGen: 58880K->4343K(116736K)] [ParOldGen: 349289K->349608K(349696K)] 408169K->353951K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0453776 secs] [Times: user=0.24 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:05.896-0800: 2.833: [Full GC (Ergonomics) [PSYoungGen: 58223K->4161K(116736K)] [ParOldGen: 349608K->349476K(349696K)] 407831K->353637K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0451572 secs] [Times: user=0.25 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:05.954-0800: 2.892: [Full GC (Ergonomics) [PSYoungGen: 58880K->0K(116736K)] [ParOldGen: 349476K->348555K(349696K)] 408356K->348555K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0483304 secs] [Times: user=0.25 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:06.018-0800: 2.956: [Full GC (Ergonomics) [PSYoungGen: 58880K->0K(116736K)] [ParOldGen: 348555K->348587K(349696K)] 407435K->348587K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0475840 secs] [Times: user=0.24 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:06.081-0800: 3.018: [Full GC (Ergonomics) [PSYoungGen: 58190K->2545K(116736K)] [ParOldGen: 348587K->349494K(349696K)] 406777K->352039K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0441716 secs] [Times: user=0.23 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:06.139-0800: 3.077: [Full GC (Ergonomics) [PSYoungGen: 58880K->3119K(116736K)] [ParOldGen: 349494K->349358K(349696K)] 408374K->352477K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0454765 secs] [Times: user=0.27 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:06.198-0800: 3.136: [Full GC (Ergonomics) [PSYoungGen: 58838K->4579K(116736K)] [ParOldGen: 349358K->349255K(349696K)] 408197K->353835K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0462270 secs] [Times: user=0.29 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:06.257-0800: 3.194: [Full GC (Ergonomics) [PSYoungGen: 58880K->2202K(116736K)] [ParOldGen: 349255K->349549K(349696K)] 408135K->351752K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0466052 secs] [Times: user=0.26 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:06.317-0800: 3.254: [Full GC (Ergonomics) [PSYoungGen: 58880K->7082K(116736K)] [ParOldGen: 349549K->349297K(349696K)] 408429K->356380K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0411578 secs] [Times: user=0.27 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:06.370-0800: 3.307: [Full GC (Ergonomics) [PSYoungGen: 58880K->8373K(116736K)] [ParOldGen: 349297K->348966K(349696K)] 408177K->357340K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0449236 secs] [Times: user=0.28 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:06.426-0800: 3.363: [Full GC (Ergonomics) [PSYoungGen: 58479K->5136K(116736K)] [ParOldGen: 348966K->349604K(349696K)] 407446K->354740K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0482171 secs] [Times: user=0.28 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:06.489-0800: 3.427: [Full GC (Ergonomics) [PSYoungGen: 58880K->3784K(116736K)] [ParOldGen: 349604K->349524K(349696K)] 408484K->353309K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0445914 secs] [Times: user=0.25 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:06.547-0800: 3.484: [Full GC (Ergonomics) [PSYoungGen: 58614K->4026K(116736K)] [ParOldGen: 349524K->349458K(349696K)] 408138K->353485K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0447359 secs] [Times: user=0.26 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:06.606-0800: 3.543: [Full GC (Ergonomics) [PSYoungGen: 58880K->3163K(116736K)] [ParOldGen: 349458K->349248K(349696K)] 408338K->352411K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0465154 secs] [Times: user=0.25 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:06.668-0800: 3.605: [Full GC (Ergonomics) [PSYoungGen: 58446K->1191K(116736K)] [ParOldGen: 349248K->349152K(349696K)] 407694K->350344K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0475214 secs] [Times: user=0.23 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:06.728-0800: 3.666: [Full GC (Ergonomics) [PSYoungGen: 58641K->6551K(116736K)] [ParOldGen: 349152K->349410K(349696K)] 407794K->355962K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0455230 secs] [Times: user=0.23 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:06.786-0800: 3.724: [Full GC (Ergonomics) [PSYoungGen: 58880K->3972K(116736K)] [ParOldGen: 349410K->349609K(349696K)] 408290K->353581K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0515654 secs] [Times: user=0.23 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:06.851-0800: 3.788: [Full GC (Ergonomics) [PSYoungGen: 58880K->6888K(116736K)] [ParOldGen: 349609K->349586K(349696K)] 408489K->356474K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0458195 secs] [Times: user=0.23 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:06.910-0800: 3.848: [Full GC (Ergonomics) [PSYoungGen: 58582K->5464K(116736K)] [ParOldGen: 349586K->349563K(349696K)] 408168K->355028K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0444308 secs] [Times: user=0.23 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:06.969-0800: 3.906: [Full GC (Ergonomics) [PSYoungGen: 58561K->3612K(116736K)] [ParOldGen: 349563K->349236K(349696K)] 408125K->352849K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0475478 secs] [Times: user=0.24 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:07.031-0800: 3.969: [Full GC (Ergonomics) [PSYoungGen: 58359K->4752K(116736K)] [ParOldGen: 349236K->349390K(349696K)] 407595K->354142K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0457431 secs] [Times: user=0.25 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:07.089-0800: 4.027: [Full GC (Ergonomics) [PSYoungGen: 58880K->5543K(116736K)] [ParOldGen: 349390K->349079K(349696K)] 408270K->354623K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0469455 secs] [Times: user=0.26 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:07.152-0800: 4.089: [Full GC (Ergonomics) [PSYoungGen: 58880K->2127K(116736K)] [ParOldGen: 349079K->349031K(349696K)] 407959K->351158K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0435038 secs] [Times: user=0.26 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:07.210-0800: 4.147: [Full GC (Ergonomics) [PSYoungGen: 58692K->3083K(116736K)] [ParOldGen: 349031K->349433K(349696K)] 407723K->352517K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0434172 secs] [Times: user=0.28 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:07.266-0800: 4.203: [Full GC (Ergonomics) [PSYoungGen: 58453K->4985K(116736K)] [ParOldGen: 349433K->349565K(349696K)] 407887K->354551K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0447968 secs] [Times: user=0.29 sys=0.00, real=0.05 secs] 
