Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for bsd-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 16:54:38 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(4428k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2021-01-18T10:11:48.160-0800: 1.147: [GC (Allocation Failure) 2021-01-18T10:11:48.160-0800: 1.147: [DefNew: 2236928K->279615K(2516544K), 0.1830736 secs] 2236928K->330432K(8108992K), 0.1832426 secs] [Times: user=0.10 sys=0.08, real=0.18 secs] 
2021-01-18T10:11:52.439-0800: 5.425: [GC (Allocation Failure) 2021-01-18T10:11:52.439-0800: 5.426: [DefNew: 2516543K->279614K(2516544K), 0.0965949 secs] 3470613K->1330544K(8108992K), 0.0966887 secs] [Times: user=0.07 sys=0.03, real=0.10 secs] 
2021-01-18T10:11:52.776-0800: 5.763: [GC (Allocation Failure) 2021-01-18T10:11:52.776-0800: 5.763: [DefNew: 2516542K->279615K(2516544K), 0.0794441 secs] 3567472K->1399555K(8108992K), 0.0795427 secs] [Times: user=0.06 sys=0.02, real=0.08 secs] 
2021-01-18T10:11:53.103-0800: 6.090: [GC (Allocation Failure) 2021-01-18T10:11:53.103-0800: 6.090: [DefNew: 2516543K->279615K(2516544K), 0.0894860 secs] 3636483K->1482293K(8108992K), 0.0895830 secs] [Times: user=0.06 sys=0.02, real=0.09 secs] 
2021-01-18T10:11:53.437-0800: 6.424: [GC (Allocation Failure) 2021-01-18T10:11:53.437-0800: 6.424: [DefNew: 2516543K->279615K(2516544K), 0.0875224 secs] 3719221K->1563038K(8108992K), 0.0876084 secs] [Times: user=0.06 sys=0.03, real=0.09 secs] 
2021-01-18T10:11:53.769-0800: 6.756: [GC (Allocation Failure) 2021-01-18T10:11:53.769-0800: 6.756: [DefNew: 2516543K->279615K(2516544K), 0.1132584 secs] 3799966K->1654997K(8108992K), 0.1133428 secs] [Times: user=0.07 sys=0.02, real=0.12 secs] 
2021-01-18T10:11:54.129-0800: 7.115: [GC (Allocation Failure) 2021-01-18T10:11:54.129-0800: 7.115: [DefNew: 2516543K->279615K(2516544K), 0.0954660 secs] 3891925K->1723057K(8108992K), 0.0955552 secs] [Times: user=0.06 sys=0.02, real=0.10 secs] 
2021-01-18T10:11:54.475-0800: 7.461: [GC (Allocation Failure) 2021-01-18T10:11:54.475-0800: 7.461: [DefNew: 2516543K->279615K(2516544K), 0.1183912 secs] 3959985K->1813483K(8108992K), 0.1184699 secs] [Times: user=0.07 sys=0.02, real=0.12 secs] 
2021-01-18T10:11:54.840-0800: 7.827: [GC (Allocation Failure) 2021-01-18T10:11:54.840-0800: 7.827: [DefNew: 2516543K->279615K(2516544K), 0.0932487 secs] 4050411K->1886047K(8108992K), 0.0933293 secs] [Times: user=0.06 sys=0.02, real=0.09 secs] 
2021-01-18T10:11:55.181-0800: 8.168: [GC (Allocation Failure) 2021-01-18T10:11:55.181-0800: 8.168: [DefNew: 2516543K->279615K(2516544K), 0.0973252 secs] 4122975K->1958464K(8108992K), 0.0974097 secs] [Times: user=0.06 sys=0.03, real=0.09 secs] 
2021-01-18T10:11:55.531-0800: 8.518: [GC (Allocation Failure) 2021-01-18T10:11:55.531-0800: 8.518: [DefNew: 2516543K->279615K(2516544K), 0.1446313 secs] 4195392K->2048662K(8108992K), 0.1447173 secs] [Times: user=0.08 sys=0.03, real=0.14 secs] 
2021-01-18T10:11:55.931-0800: 8.918: [GC (Allocation Failure) 2021-01-18T10:11:55.931-0800: 8.918: [DefNew: 2516543K->279615K(2516544K), 0.1412377 secs] 4285590K->2136046K(8108992K), 0.1413177 secs] [Times: user=0.09 sys=0.05, real=0.14 secs] 
2021-01-18T10:11:56.313-0800: 9.300: [GC (Allocation Failure) 2021-01-18T10:11:56.313-0800: 9.300: [DefNew: 2516543K->279615K(2516544K), 0.1262378 secs] 4372974K->2221418K(8108992K), 0.1263195 secs] [Times: user=0.09 sys=0.04, real=0.13 secs] 
2021-01-18T10:11:56.689-0800: 9.675: [GC (Allocation Failure) 2021-01-18T10:11:56.689-0800: 9.675: [DefNew: 2516543K->279615K(2516544K), 0.1430059 secs] 4458346K->2309045K(8108992K), 0.1430858 secs] [Times: user=0.09 sys=0.05, real=0.15 secs] 
2021-01-18T10:11:57.082-0800: 10.069: [GC (Allocation Failure) 2021-01-18T10:11:57.083-0800: 10.069: [DefNew: 2516543K->279615K(2516544K), 0.1093397 secs] 4545973K->2370743K(8108992K), 0.1094296 secs] [Times: user=0.07 sys=0.04, real=0.11 secs] 
Heap
 def new generation   total 2516544K, used 369499K [0x00000005c0000000, 0x000000066aaa0000, 0x000000066aaa0000)
  eden space 2236928K,   4% used [0x00000005c0000000, 0x00000005c57c6dd8, 0x0000000648880000)
  from space 279616K,  99% used [0x0000000648880000, 0x000000065998fff8, 0x0000000659990000)
  to   space 279616K,   0% used [0x0000000659990000, 0x0000000659990000, 0x000000066aaa0000)
 tenured generation   total 5592448K, used 2091127K [0x000000066aaa0000, 0x00000007c0000000, 0x00000007c0000000)
   the space 5592448K,  37% used [0x000000066aaa0000, 0x00000006ea4bdd98, 0x00000006ea4bde00, 0x00000007c0000000)
 Metaspace       used 2595K, capacity 4490K, committed 4864K, reserved 1056768K
  class space    used 278K, capacity 386K, committed 512K, reserved 1048576K
