Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for bsd-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 16:54:38 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(3749580k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2021-01-19T14:20:06.073-0800: 1.224: [GC (Allocation Failure) 2021-01-19T14:20:06.073-0800: 1.224: [DefNew: 2236928K->279615K(2516544K), 0.1729894 secs] 2236928K->319509K(8108992K), 0.1730924 secs] [Times: user=0.10 sys=0.08, real=0.17 secs] 
2021-01-19T14:20:13.364-0800: 8.516: [GC (Allocation Failure) 2021-01-19T14:20:13.364-0800: 8.516: [DefNew: 2516543K->279615K(2516544K), 0.0879905 secs] 3929865K->1778950K(8108992K), 0.0880940 secs] [Times: user=0.07 sys=0.02, real=0.09 secs] 
2021-01-19T14:20:13.753-0800: 8.904: [GC (Allocation Failure) 2021-01-19T14:20:13.753-0800: 8.904: [DefNew: 2516543K->279615K(2516544K), 0.1162166 secs] 4015878K->1859850K(8108992K), 0.1163005 secs] [Times: user=0.07 sys=0.02, real=0.11 secs] 
2021-01-19T14:20:14.164-0800: 9.316: [GC (Allocation Failure) 2021-01-19T14:20:14.164-0800: 9.316: [DefNew: 2516543K->279614K(2516544K), 0.0920516 secs] 4096778K->1938982K(8108992K), 0.0921416 secs] [Times: user=0.07 sys=0.02, real=0.09 secs] 
2021-01-19T14:20:14.529-0800: 9.681: [GC (Allocation Failure) 2021-01-19T14:20:14.530-0800: 9.681: [DefNew: 2516542K->279615K(2516544K), 0.0934802 secs] 4175910K->2033151K(8108992K), 0.0935649 secs] [Times: user=0.07 sys=0.03, real=0.10 secs] 
2021-01-19T14:20:14.898-0800: 10.049: [GC (Allocation Failure) 2021-01-19T14:20:14.898-0800: 10.049: [DefNew: 2516543K->279615K(2516544K), 0.1129875 secs] 4270079K->2107219K(8108992K), 0.1133025 secs] [Times: user=0.07 sys=0.02, real=0.12 secs] 
2021-01-19T14:20:15.329-0800: 10.481: [GC (Allocation Failure) 2021-01-19T14:20:15.329-0800: 10.481: [DefNew: 2516543K->279615K(2516544K), 0.1193340 secs] 4344147K->2184023K(8108992K), 0.1194084 secs] [Times: user=0.08 sys=0.03, real=0.12 secs] 
2021-01-19T14:20:15.741-0800: 10.892: [GC (Allocation Failure) 2021-01-19T14:20:15.741-0800: 10.893: [DefNew: 2516543K->279614K(2516544K), 0.0931741 secs] 4420951K->2271006K(8108992K), 0.0932735 secs] [Times: user=0.07 sys=0.02, real=0.09 secs] 
2021-01-19T14:20:16.118-0800: 11.269: [GC (Allocation Failure) 2021-01-19T14:20:16.118-0800: 11.269: [DefNew: 2516542K->279615K(2516544K), 0.1343807 secs] 4507934K->2358217K(8108992K), 0.1344980 secs] [Times: user=0.09 sys=0.05, real=0.14 secs] 
2021-01-19T14:20:16.539-0800: 11.691: [GC (Allocation Failure) 2021-01-19T14:20:16.539-0800: 11.691: [DefNew: 2516543K->279615K(2516544K), 0.1270284 secs] 4595145K->2442439K(8108992K), 0.1271081 secs] [Times: user=0.08 sys=0.05, real=0.13 secs] 
2021-01-19T14:20:16.963-0800: 12.114: [GC (Allocation Failure) 2021-01-19T14:20:16.963-0800: 12.114: [DefNew: 2516543K->279615K(2516544K), 0.1535354 secs] 4679367K->2545120K(8108992K), 0.1592944 secs] [Times: user=0.09 sys=0.05, real=0.16 secs] 
2021-01-19T14:20:17.407-0800: 12.559: [GC (Allocation Failure) 2021-01-19T14:20:17.407-0800: 12.559: [DefNew: 2516543K->279615K(2516544K), 0.1258965 secs] 4782048K->2634468K(8108992K), 0.1259841 secs] [Times: user=0.08 sys=0.04, real=0.13 secs] 
2021-01-19T14:20:17.829-0800: 12.981: [GC (Allocation Failure) 2021-01-19T14:20:17.829-0800: 12.981: [DefNew: 2516543K->279613K(2516544K), 0.1246449 secs] 4871396K->2710960K(8108992K), 0.1247323 secs] [Times: user=0.08 sys=0.04, real=0.13 secs] 
2021-01-19T14:20:18.259-0800: 13.411: [GC (Allocation Failure) 2021-01-19T14:20:18.259-0800: 13.411: [DefNew: 2516541K->279615K(2516544K), 0.1359103 secs] 4947888K->2798487K(8108992K), 0.1359965 secs] [Times: user=0.08 sys=0.04, real=0.14 secs] 
2021-01-19T14:20:18.730-0800: 13.881: [GC (Allocation Failure) 2021-01-19T14:20:18.730-0800: 13.881: [DefNew: 2516543K->279615K(2516544K), 0.1045533 secs] 5035415K->2873318K(8108992K), 0.1046660 secs] [Times: user=0.07 sys=0.03, real=0.10 secs] 
2021-01-19T14:20:19.130-0800: 14.282: [GC (Allocation Failure) 2021-01-19T14:20:19.130-0800: 14.282: [DefNew: 2516543K->279615K(2516544K), 0.1417536 secs] 5110246K->2959335K(8108992K), 0.1418202 secs] [Times: user=0.09 sys=0.04, real=0.14 secs] 
2021-01-19T14:20:19.542-0800: 14.693: [GC (Allocation Failure) 2021-01-19T14:20:19.542-0800: 14.693: [DefNew: 2516543K->279615K(2516544K), 0.1714752 secs] 5196263K->3040258K(8108992K), 0.1715455 secs] [Times: user=0.08 sys=0.04, real=0.17 secs] 
2021-01-19T14:20:20.027-0800: 15.178: [GC (Allocation Failure) 2021-01-19T14:20:20.027-0800: 15.178: [DefNew: 2516543K->279615K(2516544K), 0.0919232 secs] 5277186K->3104674K(8108992K), 0.0919837 secs] [Times: user=0.06 sys=0.02, real=0.09 secs] 
2021-01-19T14:20:20.400-0800: 15.551: [GC (Allocation Failure) 2021-01-19T14:20:20.400-0800: 15.551: [DefNew: 2516543K->279615K(2516544K), 0.0933202 secs] 5341602K->3180373K(8108992K), 0.0933919 secs] [Times: user=0.07 sys=0.03, real=0.09 secs] 
2021-01-19T14:20:20.763-0800: 15.915: [GC (Allocation Failure) 2021-01-19T14:20:20.763-0800: 15.915: [DefNew: 2516543K->279615K(2516544K), 0.1056521 secs] 5417301K->3268618K(8108992K), 0.1057299 secs] [Times: user=0.07 sys=0.03, real=0.10 secs] 
2021-01-19T14:20:21.175-0800: 16.326: [GC (Allocation Failure) 2021-01-19T14:20:21.175-0800: 16.326: [DefNew: 2516543K->279615K(2516544K), 0.0866598 secs] 5505546K->3346005K(8108992K), 0.0867389 secs] [Times: user=0.07 sys=0.02, real=0.09 secs] 
2021-01-19T14:20:21.543-0800: 16.695: [GC (Allocation Failure) 2021-01-19T14:20:21.543-0800: 16.695: [DefNew: 2516543K->279615K(2516544K), 0.0913981 secs] 5582933K->3422560K(8108992K), 0.0914769 secs] [Times: user=0.06 sys=0.02, real=0.09 secs] 
2021-01-19T14:20:21.910-0800: 17.062: [GC (Allocation Failure) 2021-01-19T14:20:21.910-0800: 17.062: [DefNew: 2516543K->279615K(2516544K), 0.0884544 secs] 5659488K->3488846K(8108992K), 0.0888051 secs] [Times: user=0.06 sys=0.03, real=0.08 secs] 
2021-01-19T14:20:22.269-0800: 17.421: [GC (Allocation Failure) 2021-01-19T14:20:22.269-0800: 17.421: [DefNew: 2516543K->279615K(2516544K), 0.1015598 secs] 5725774K->3577003K(8108992K), 0.1016563 secs] [Times: user=0.07 sys=0.02, real=0.11 secs] 
2021-01-19T14:20:22.678-0800: 17.829: [GC (Allocation Failure) 2021-01-19T14:20:22.678-0800: 17.830: [DefNew: 2516543K->279615K(2516544K), 0.0966418 secs] 5813931K->3658664K(8108992K), 0.0967322 secs] [Times: user=0.07 sys=0.02, real=0.10 secs] 
2021-01-19T14:20:23.069-0800: 18.221: [GC (Allocation Failure) 2021-01-19T14:20:23.069-0800: 18.221: [DefNew: 2516543K->279615K(2516544K), 0.1261955 secs] 5895592K->3736489K(8108992K), 0.1262816 secs] [Times: user=0.08 sys=0.04, real=0.13 secs] 
2021-01-19T14:20:23.508-0800: 18.659: [GC (Allocation Failure) 2021-01-19T14:20:23.508-0800: 18.659: [DefNew: 2516543K->279615K(2516544K), 0.0970146 secs] 5973417K->3826520K(8108992K), 0.0970888 secs] [Times: user=0.07 sys=0.02, real=0.10 secs] 
2021-01-19T14:20:23.893-0800: 19.045: [GC (Allocation Failure) 2021-01-19T14:20:23.893-0800: 19.045: [DefNew: 2516543K->279615K(2516544K), 0.0908581 secs] 6063448K->3916297K(8108992K), 0.0909314 secs] [Times: user=0.07 sys=0.02, real=0.09 secs] 
2021-01-19T14:20:24.267-0800: 19.418: [GC (Allocation Failure) 2021-01-19T14:20:24.267-0800: 19.418: [DefNew: 2516543K->279615K(2516544K), 0.0964183 secs] 6153225K->3996054K(8108992K), 0.0965291 secs] [Times: user=0.07 sys=0.02, real=0.10 secs] 
2021-01-19T14:20:24.642-0800: 19.793: [GC (Allocation Failure) 2021-01-19T14:20:24.642-0800: 19.793: [DefNew: 2516543K->279615K(2516544K), 0.0943632 secs] 6232982K->4071792K(8108992K), 0.0944459 secs] [Times: user=0.07 sys=0.03, real=0.09 secs] 
2021-01-19T14:20:25.023-0800: 20.174: [GC (Allocation Failure) 2021-01-19T14:20:25.023-0800: 20.174: [DefNew: 2516543K->279615K(2516544K), 0.1147149 secs] 6308720K->4154517K(8108992K), 0.1148108 secs] [Times: user=0.08 sys=0.03, real=0.11 secs] 
2021-01-19T14:20:25.423-0800: 20.575: [GC (Allocation Failure) 2021-01-19T14:20:25.424-0800: 20.575: [DefNew: 2516543K->279615K(2516544K), 0.0878002 secs] 6391445K->4238900K(8108992K), 0.0879025 secs] [Times: user=0.07 sys=0.02, real=0.09 secs] 
2021-01-19T14:20:25.795-0800: 20.947: [GC (Allocation Failure) 2021-01-19T14:20:25.795-0800: 20.947: [DefNew: 2516543K->279615K(2516544K), 0.1028902 secs] 6475828K->4332705K(8108992K), 0.1029496 secs] [Times: user=0.07 sys=0.03, real=0.10 secs] 
2021-01-19T14:20:26.176-0800: 21.328: [GC (Allocation Failure) 2021-01-19T14:20:26.177-0800: 21.328: [DefNew: 2516543K->279615K(2516544K), 0.1007299 secs] 6569633K->4409314K(8108992K), 0.1008315 secs] [Times: user=0.06 sys=0.03, real=0.10 secs] 
2021-01-19T14:20:26.590-0800: 21.741: [GC (Allocation Failure) 2021-01-19T14:20:26.590-0800: 21.741: [DefNew: 2516543K->279616K(2516544K), 0.0924462 secs] 6646242K->4492853K(8108992K), 0.0925203 secs] [Times: user=0.07 sys=0.03, real=0.09 secs] 
2021-01-19T14:20:26.969-0800: 22.121: [GC (Allocation Failure) 2021-01-19T14:20:26.969-0800: 22.121: [DefNew: 2516544K->279615K(2516544K), 0.1023480 secs] 6729781K->4577263K(8108992K), 0.1043326 secs] [Times: user=0.07 sys=0.03, real=0.11 secs] 
2021-01-19T14:20:27.360-0800: 22.512: [GC (Allocation Failure) 2021-01-19T14:20:27.360-0800: 22.512: [DefNew: 2516543K->279615K(2516544K), 0.0858541 secs] 6814191K->4648234K(8108992K), 0.0859393 secs] [Times: user=0.07 sys=0.02, real=0.08 secs] 
2021-01-19T14:20:27.755-0800: 22.907: [GC (Allocation Failure) 2021-01-19T14:20:27.756-0800: 22.907: [DefNew: 2516543K->279614K(2516544K), 0.0813241 secs] 6885162K->4709109K(8108992K), 0.0814148 secs] [Times: user=0.06 sys=0.02, real=0.08 secs] 
2021-01-19T14:20:28.124-0800: 23.275: [GC (Allocation Failure) 2021-01-19T14:20:28.124-0800: 23.276: [DefNew: 2516542K->279615K(2516544K), 0.0991032 secs] 6946037K->4808692K(8108992K), 0.0991960 secs] [Times: user=0.07 sys=0.03, real=0.10 secs] 
2021-01-19T14:20:28.504-0800: 23.656: [GC (Allocation Failure) 2021-01-19T14:20:28.504-0800: 23.656: [DefNew: 2516543K->279615K(2516544K), 0.1080869 secs] 7045620K->4895547K(8108992K), 0.1081794 secs] [Times: user=0.07 sys=0.03, real=0.11 secs] 
2021-01-19T14:20:28.888-0800: 24.040: [GC (Allocation Failure) 2021-01-19T14:20:28.888-0800: 24.040: [DefNew: 2516543K->279615K(2516544K), 0.1051490 secs] 7132475K->4986389K(8108992K), 0.1052195 secs] [Times: user=0.07 sys=0.02, real=0.11 secs] 
2021-01-19T14:20:29.280-0800: 24.432: [GC (Allocation Failure) 2021-01-19T14:20:29.280-0800: 24.432: [DefNew: 2516543K->279615K(2516544K), 0.0923551 secs] 7223317K->5068165K(8108992K), 0.0924515 secs] [Times: user=0.06 sys=0.03, real=0.09 secs] 
2021-01-19T14:20:29.658-0800: 24.810: [GC (Allocation Failure) 2021-01-19T14:20:29.658-0800: 24.810: [DefNew: 2516543K->279615K(2516544K), 0.1078160 secs] 7305093K->5155153K(8108992K), 0.1079101 secs] [Times: user=0.07 sys=0.03, real=0.11 secs] 
2021-01-19T14:20:30.045-0800: 25.197: [GC (Allocation Failure) 2021-01-19T14:20:30.045-0800: 25.197: [DefNew: 2516543K->279614K(2516544K), 0.1220116 secs] 7392081K->5251296K(8108992K), 0.1220968 secs] [Times: user=0.08 sys=0.04, real=0.12 secs] 
2021-01-19T14:20:30.445-0800: 25.597: [GC (Allocation Failure) 2021-01-19T14:20:30.445-0800: 25.597: [DefNew: 2516542K->279615K(2516544K), 0.1031773 secs] 7488224K->5341194K(8108992K), 0.1032567 secs] [Times: user=0.07 sys=0.03, real=0.10 secs] 
2021-01-19T14:20:30.869-0800: 26.021: [GC (Allocation Failure) 2021-01-19T14:20:30.869-0800: 26.021: [DefNew: 2516543K->279615K(2516544K), 0.1189015 secs] 7578122K->5428417K(8108992K), 0.1189900 secs] [Times: user=0.08 sys=0.03, real=0.12 secs] 
2021-01-19T14:20:31.286-0800: 26.438: [GC (Allocation Failure) 2021-01-19T14:20:31.286-0800: 26.438: [DefNew: 2516543K->279615K(2516544K), 0.0951640 secs] 7665345K->5512448K(8108992K), 0.0952518 secs] [Times: user=0.07 sys=0.02, real=0.10 secs] 
2021-01-19T14:20:31.649-0800: 26.801: [GC (Allocation Failure) 2021-01-19T14:20:31.649-0800: 26.801: [DefNew: 2516543K->279614K(2516544K), 0.1163347 secs] 7749376K->5607557K(8108992K), 0.1164239 secs] [Times: user=0.08 sys=0.03, real=0.12 secs] 
2021-01-19T14:20:32.058-0800: 27.209: [GC (Allocation Failure) 2021-01-19T14:20:32.058-0800: 27.209: [DefNew: 2516542K->279615K(2516544K), 0.0865892 secs] 7844485K->5675157K(8108992K), 0.0868760 secs] [Times: user=0.06 sys=0.02, real=0.09 secs] 
2021-01-19T14:20:32.421-0800: 27.573: [GC (Allocation Failure) 2021-01-19T14:20:32.421-0800: 27.573: [DefNew: 2516543K->279615K(2516544K), 0.1020817 secs] 7912085K->5769058K(8108992K), 0.1021652 secs] [Times: user=0.07 sys=0.03, real=0.10 secs] 
2021-01-19T14:20:32.816-0800: 27.968: [GC (Allocation Failure) 2021-01-19T14:20:32.816-0800: 27.968: [DefNew: 2516543K->2516543K(2516544K), 0.0000184 secs]2021-01-19T14:20:32.816-0800: 27.968: [Tenured: 5489442K->440707K(5592448K), 0.3953672 secs] 8005986K->440707K(8108992K), [Metaspace: 2589K->2589K(1056768K)], 0.3954864 secs] [Times: user=0.13 sys=0.21, real=0.40 secs] 
2021-01-19T14:20:33.488-0800: 28.640: [GC (Allocation Failure) 2021-01-19T14:20:33.488-0800: 28.640: [DefNew: 2236928K->279615K(2516544K), 0.1002480 secs] 2677635K->774965K(8108992K), 0.1003364 secs] [Times: user=0.06 sys=0.03, real=0.10 secs] 
2021-01-19T14:20:33.876-0800: 29.028: [GC (Allocation Failure) 2021-01-19T14:20:33.876-0800: 29.028: [DefNew: 2516543K->279615K(2516544K), 0.1530081 secs] 3011893K->858788K(8108992K), 0.1531075 secs] [Times: user=0.06 sys=0.06, real=0.15 secs] 
2021-01-19T14:20:34.327-0800: 29.479: [GC (Allocation Failure) 2021-01-19T14:20:34.327-0800: 29.479: [DefNew: 2516543K->279614K(2516544K), 0.1544932 secs] 3095716K->941331K(8108992K), 0.1546380 secs] [Times: user=0.06 sys=0.05, real=0.16 secs] 
2021-01-19T14:20:34.769-0800: 29.921: [GC (Allocation Failure) 2021-01-19T14:20:34.769-0800: 29.921: [DefNew: 2516542K->279615K(2516544K), 0.2517237 secs] 3178259K->1033318K(8108992K), 0.2518156 secs] [Times: user=0.07 sys=0.09, real=0.26 secs] 
2021-01-19T14:20:35.307-0800: 30.458: [GC (Allocation Failure) 2021-01-19T14:20:35.307-0800: 30.458: [DefNew: 2516543K->279615K(2516544K), 0.2207388 secs] 3270246K->1115815K(8108992K), 0.2208171 secs] [Times: user=0.07 sys=0.07, real=0.22 secs] 
2021-01-19T14:20:35.795-0800: 30.947: [GC (Allocation Failure) 2021-01-19T14:20:35.795-0800: 30.947: [DefNew: 2516543K->279615K(2516544K), 0.1201126 secs] 3352743K->1202320K(8108992K), 0.1201842 secs] [Times: user=0.06 sys=0.05, real=0.12 secs] 
2021-01-19T14:20:36.182-0800: 31.334: [GC (Allocation Failure) 2021-01-19T14:20:36.182-0800: 31.334: [DefNew: 2516543K->279615K(2516544K), 0.1206128 secs] 3439248K->1281873K(8108992K), 0.1206849 secs] [Times: user=0.07 sys=0.04, real=0.12 secs] 
2021-01-19T14:20:36.576-0800: 31.728: [GC (Allocation Failure) 2021-01-19T14:20:36.576-0800: 31.728: [DefNew: 2516543K->279615K(2516544K), 0.1443920 secs] 3518801K->1368099K(8108992K), 0.1444726 secs] [Times: user=0.08 sys=0.06, real=0.15 secs] 
2021-01-19T14:20:37.008-0800: 32.160: [GC (Allocation Failure) 2021-01-19T14:20:37.009-0800: 32.160: [DefNew: 2516543K->279615K(2516544K), 0.1157509 secs] 3605027K->1444846K(8108992K), 0.1218216 secs] [Times: user=0.07 sys=0.04, real=0.13 secs] 
2021-01-19T14:20:37.421-0800: 32.573: [GC (Allocation Failure) 2021-01-19T14:20:37.421-0800: 32.573: [DefNew: 2516543K->279615K(2516544K), 0.1233612 secs] 3681774K->1525947K(8108992K), 0.1234454 secs] [Times: user=0.08 sys=0.04, real=0.12 secs] 
2021-01-19T14:20:37.812-0800: 32.963: [GC (Allocation Failure) 2021-01-19T14:20:37.812-0800: 32.963: [DefNew: 2516543K->279615K(2516544K), 0.1200948 secs] 3762875K->1602431K(8108992K), 0.1201749 secs] [Times: user=0.07 sys=0.04, real=0.12 secs] 
2021-01-19T14:20:38.197-0800: 33.349: [GC (Allocation Failure) 2021-01-19T14:20:38.197-0800: 33.349: [DefNew: 2516543K->279615K(2516544K), 0.1200655 secs] 3839359K->1672673K(8108992K), 0.1201614 secs] [Times: user=0.06 sys=0.04, real=0.12 secs] 
2021-01-19T14:20:38.563-0800: 33.715: [GC (Allocation Failure) 2021-01-19T14:20:38.563-0800: 33.715: [DefNew: 2516543K->279615K(2516544K), 0.1192078 secs] 3909601K->1766926K(8108992K), 0.1192808 secs] [Times: user=0.07 sys=0.05, real=0.12 secs] 
2021-01-19T14:20:39.001-0800: 34.153: [GC (Allocation Failure) 2021-01-19T14:20:39.001-0800: 34.153: [DefNew: 2516543K->279615K(2516544K), 0.1224619 secs] 4003854K->1844302K(8108992K), 0.1225330 secs] [Times: user=0.07 sys=0.04, real=0.12 secs] 
2021-01-19T14:20:39.412-0800: 34.564: [GC (Allocation Failure) 2021-01-19T14:20:39.412-0800: 34.564: [DefNew: 2516543K->279614K(2516544K), 0.1206306 secs] 4081230K->1934892K(8108992K), 0.1206983 secs] [Times: user=0.06 sys=0.05, real=0.12 secs] 
2021-01-19T14:20:39.850-0800: 35.002: [GC (Allocation Failure) 2021-01-19T14:20:39.850-0800: 35.002: [DefNew: 2516542K->279615K(2516544K), 0.1338149 secs] 4171820K->2023548K(8108992K), 0.1338736 secs] [Times: user=0.07 sys=0.04, real=0.13 secs] 
2021-01-19T14:20:40.265-0800: 35.417: [GC (Allocation Failure) 2021-01-19T14:20:40.265-0800: 35.417: [DefNew: 2516543K->279615K(2516544K), 0.1243350 secs] 4260476K->2106505K(8108992K), 0.1244091 secs] [Times: user=0.07 sys=0.05, real=0.12 secs] 
2021-01-19T14:20:40.652-0800: 35.804: [GC (Allocation Failure) 2021-01-19T14:20:40.652-0800: 35.804: [DefNew: 2516543K->279614K(2516544K), 0.1132890 secs] 4343433K->2174943K(8108992K), 0.1133474 secs] [Times: user=0.07 sys=0.04, real=0.11 secs] 
2021-01-19T14:20:41.039-0800: 36.191: [GC (Allocation Failure) 2021-01-19T14:20:41.039-0800: 36.191: [DefNew: 2516542K->279615K(2516544K), 0.1267821 secs] 4411871K->2255653K(8108992K), 0.1268414 secs] [Times: user=0.07 sys=0.05, real=0.13 secs] 
2021-01-19T14:20:41.440-0800: 36.592: [GC (Allocation Failure) 2021-01-19T14:20:41.440-0800: 36.592: [DefNew: 2516543K->279615K(2516544K), 0.1257704 secs] 4492581K->2344612K(8108992K), 0.1258291 secs] [Times: user=0.06 sys=0.04, real=0.12 secs] 
2021-01-19T14:20:41.856-0800: 37.008: [GC (Allocation Failure) 2021-01-19T14:20:41.856-0800: 37.008: [DefNew: 2516543K->279615K(2516544K), 0.1160334 secs] 4581540K->2416827K(8108992K), 0.1161657 secs] [Times: user=0.06 sys=0.04, real=0.12 secs] 
2021-01-19T14:20:42.259-0800: 37.411: [GC (Allocation Failure) 2021-01-19T14:20:42.259-0800: 37.411: [DefNew: 2516543K->279615K(2516544K), 0.1098554 secs] 4653755K->2485902K(8108992K), 0.1116778 secs] [Times: user=0.06 sys=0.04, real=0.12 secs] 
2021-01-19T14:20:42.665-0800: 37.817: [GC (Allocation Failure) 2021-01-19T14:20:42.665-0800: 37.817: [DefNew: 2516543K->279615K(2516544K), 0.1068226 secs] 4722830K->2557078K(8108992K), 0.1069204 secs] [Times: user=0.07 sys=0.03, real=0.11 secs] 
